 21 6887.531461 5.059E-28 2.572e-02.06810.079 2671.22530.75-.008704       1 1 1 32       1 1 1 02                    R 43e     4677642029 5 4 5 7    89.0   87.0
 21 6887.561737 2.752E-28 2.377e-04.06900.088 1774.40800.76-.008546       0 2 2 31       0 2 2 01                    Q 33f     4377642030 5 4 5 7    67.0   67.0
 21 6888.137002 7.946E-26 3.328e-02.08120.108 1386.82910.70-.006649       0 2 2 31       0 2 2 01                    P 11f     4677742030 5 4 5 7    21.0   23.0
 21 6888.137930 8.223E-26 2.514e-02.07310.100 1449.38310.71-.007977       1 0 0 32       1 0 0 02                    P 20e     4677642029 5 4 5 7    39.0   41.0
 21 6888.157865 3.214E-28 2.524e-04.06910.089 1748.57800.76-.008524       0 2 2 31       0 2 2 01                    Q 32e     4377642030 5 4 5 7    65.0   65.0
 21 6888.161928 3.712E-25 3.205e-02.06830.081 1339.65920.76-.008647       0 1 1 31       0 1 1 01                    P 41e     4677642030 5 4 5 7    81.0   83.0
 21 6888.260441 1.984E-27 1.145e-01.08120.108 2400.24320.70-.006649       0 0 0 41       0 0 0 11                    P 11e     3677742029 5 4 5 7    21.0   23.0
 21 6888.742007 3.742E-28 2.685e-04.06920.090 1723.52920.76-.008502       0 2 2 31       0 2 2 01                    Q 31f     4377642030 5 4 5 7    63.0   63.0
 21 6888.852121 5.637E-26 2.728e-02.07450.101 1521.61540.70-.007812       1 0 0 31       1 0 0 01                    P 18e     3677642030 5 4 5 7    35.0   37.0
 21 6889.101908 7.479E-26 3.321e-02.08230.109 1378.21330.71-.006464       0 2 2 31       0 2 2 01                    P 10e     4677742030 5 4 5 7    19.0   21.0
 21 6889.302483 4.345E-28 2.862e-04.06930.091 1699.26250.75-.008476       0 2 2 31       0 2 2 01                    Q 30e     4377642030 5 4 5 7    61.0   61.0
 21 6889.440156 2.225E-25 3.073e-02.06580.069 1522.16110.70-.009303       0 0 0 31       0 0 0 01                    P 62e     4677742030 5 4 5 7   123.0  125.0
 21 6889.541840 4.207E-25 3.205e-02.06840.082 1308.67160.76-.008643       0 1 1 31       0 1 1 01                    P 40f     4677642030 5 4 5 7    79.0   81.0
 21 6889.849749 5.033E-28 3.058e-04.06950.092 1675.77720.75-.008459       0 2 2 31       0 2 2 01                    Q 29f     4377642030 5 4 5 7    59.0   59.0
 21 6890.048641 6.924E-26 3.309e-02.08340.111 1370.38040.72-.006284       0 2 2 31       0 2 2 01                    P  9f     4677742030 5 4 5 7    17.0   19.0
 21 6890.158964 1.757E-27 1.158e-01.08340.111 2383.98440.72-.006284       0 0 0 41       0 0 0 11                    P  9e     3677742029 5 4 5 7    17.0   19.0
 21 6890.358750 8.585E-26 2.523e-02.07450.101 1418.93480.70-.007812       1 0 0 32       1 0 0 02                    P 18e     4677642029 5 4 5 7    35.0   37.0
 21 6890.374484 5.813E-28 3.274e-04.06970.093 1653.07410.75-.008430       0 2 2 31       0 2 2 01                    Q 28e     4377642030 5 4 5 7    57.0   57.0
 21 6890.884950 6.697E-28 3.515e-04.06990.094 1631.15270.74-.008388       0 2 2 31       0 2 2 01                    Q 27f     4377642030 5 4 5 7    55.0   55.0
 21 6890.977254 6.282E-26 3.289e-02.08450.112 1363.33080.73-.006127       0 2 2 31       0 2 2 01                    P  8e     4677742030 5 4 5 7    15.0   17.0
